Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet,OrderInfo,BinaryFile,,,,,,,,,
J21,1,SR,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J22,1,P,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J23,1,ABL,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J24,1,ABH,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J25,1,DB,,,,Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/samtec-inc/SSA-111-S-T/1105805,,,,,,,,,,
J26,1,USB_C_Power,,,,Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-17,https://www.usb.org/sites/default/files/documents/usb_type-c.zip,https://www.digikey.com/en/products/detail/amphenol-cs-fci/10152803-00011LF/18443705,,,,,,,,,,
J27,1,Expansion,,,,Connector_PinHeader_2.54mm:PinHeader_2x32_P2.54mm_Horizontal,https://www.we-online.com/components/products/datasheet/6130xx243121.pdf,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/613064243121/2508635,,,,,,,,,,
J28,1,UART,,,,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300611121/4846833,,,,,,,,,,
JP1,1,ClockSel,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/61300311121/4846825,,,,,,,,,,
JP2,1,iPHI2_ACTIVE,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/amphenol-icc-commercial-products/G800W306018EU/13683144,,,,,,,,,,
JP3,1,PORT_EN,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/amphenol-icc-commercial-products/G800W306018EU/13683144,,,,,,,,,,
JP4,1,RAM_ONLY,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,~,https://www.digikey.com/en/products/detail/amphenol-icc-commercial-products/G800W306018EU/13683144,,,,,,,,,,
"R1,R2,R4,R5,R6,R8,R9,R10,R11,R12,R13,R15,R16,R18,R19",15,1k,,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1K00/1741314,,,,,,,,,,
"R3,R17",2,1M,,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/CF14JT1M00/1741316,,,,,,,,,,
R7,1,10k,,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/yageo/MFR-25FRF52-10K/14626,,,,,,,,,,
R14,1,2k,,,,R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal,~,https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/CF1-2CT52R202J/13537299,,,,,,,,,,
"RN1,RN2,RN3,RN4",4,8x1k,,,,Resistor_THT:R_Array_SIP9,http://www.vishay.com/docs/31509/csc.pdf,https://www.digikey.com/en/products/detail/bourns-inc/4609X-AP1-103LF/3741140,,,,,,,,,,
RV1,1,1M,,,,"Potentiometer_THT:Potentiometer_ACP_CA6-H2,5_Horizontal",https://www.bourns.com/docs/Product-Datasheets/pv37.pdf,https://www.digikey.com/en/products/detail/bourns-inc/PV37W105C01B00/666599,,,,,,,,,,
SW1,1,STEP,,,,Button_Switch_THT:SW_PUSH_6mm,~,https://www.digikey.com/en/products/detail/cw-industries/GPTS203211B/3190590,,,,,,,,,,
SW2,1,RESET,,,,Button_Switch_THT:SW_PUSH_6mm,~,https://www.digikey.com/en/products/detail/cw-industries/GPTS203211B/3190590,,,,,,,,,,
SW3,1,SW_Rotary_SS-10-16,,,,Project Library:RotaryEncoder_SS_10_16NP_LE,~,https://www.digikey.com/en/products/detail/nidec-components-corporation/SS-10-16NP-LE/948391,,,,,,,,,,
"U1,U57",2,74HCT04,,,,Package_DIP:DIP-14_W7.62mm_Socket,https://assets.nexperia.com/documents/data-sheet/74HC_HCT04.pdf,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT04N/277251,,,,,,,,,,
U2,1,LM555,,,,Package_DIP:DIP-8_W7.62mm,,https://www.digikey.com/en/products/detail/texas-instruments/LM555CN-NOPB/6575,,,,,,,,,,
U3,1,74HCT14,,,,Package_DIP:DIP-14_W7.62mm_Socket,http://www.ti.com/lit/gpn/sn74HC14,https://www.digikey.com/en/products/detail/texas-instruments/SN74HCT14N/376852,,,,,,,,,,
